vendor_id,component_id,promised_date,actual_date,qty_ordered,qty_received,order_month,seasonal_flag,component_lead_days,criticality_score,on_time_rate_12m,hist_avg_delay_days,hist_fulfillment_rate,port_congestion_idx,weather_risk_score,news_sentiment,currency_volatility,high_risk,delay_days,fulfillment_ratio
VND_ZETA,CASING_B,2023-08-27,2023-08-25,2190,2190,8,0,7,0.6,0.9562,0.378,0.9884,1.44,0.77,0.404,0.0,0,-2,1.0
VND_DELTA,BEARING_01,2022-01-25,2022-01-26,972,731,1,1,11,0.8,0.3819,5.213,0.7877,10.0,9.08,-1.0,3.072,1,1,0.7520576131687243
VND_ZETA,BATTERY_A,2023-06-02,2023-06-02,3102,3102,6,0,10,0.9,1.0,0.938,1.0,0.95,0.58,-1.0,0.11,1,0,1.0
VND_DELTA,SWITCH_S,2023-08-15,2023-08-17,7276,5544,8,0,6,0.65,0.4112,5.515,0.7857,10.0,7.14,-1.0,3.931,1,2,0.7619571192963167
VND_ZETA,MOTOR_X,2021-07-21,2021-07-21,696,655,7,0,14,0.95,0.8895,-0.262,1.0,1.63,0.0,0.462,0.0,0,0,0.9410919540229885
VND_ZETA,SWITCH_S,2022-11-26,2022-11-26,6758,6758,11,1,6,0.65,0.8973,-0.201,0.9722,1.99,2.8,0.448,0.025,0,0,1.0
VND_BETA,BATTERY_A,2022-01-28,2022-01-31,1758,1504,1,1,10,0.9,0.4421,2.778,0.8731,8.49,4.94,-0.843,2.646,1,3,0.8555176336746303
VND_BETA,BEARING_01,2023-05-15,2023-05-19,1703,1346,5,0,11,0.8,0.5707,2.48,0.8751,8.96,6.56,-0.962,3.201,0,4,0.7903699354081033
VND_DELTA,BLADE_X,2022-05-27,2022-06-09,7363,5707,5,0,12,0.85,0.3806,4.49,0.7759,9.38,7.59,-0.912,3.272,1,13,0.7750916745891621
VND_DELTA,BATTERY_A,2021-07-20,2021-07-23,614,611,7,0,10,0.9,0.3357,5.055,0.6902,10.0,6.05,-1.0,3.274,1,3,0.995114006514658
VND_ALPHA,MOTOR_X,2022-04-30,2022-05-03,1562,1214,4,0,14,0.95,0.8063,0.851,0.9178,3.44,0.0,-0.737,0.775,0,3,0.7772087067861716
VND_DELTA,SWITCH_S,2023-09-13,2023-09-14,1951,1440,9,0,6,0.65,0.3772,4.694,0.7468,10.0,8.25,-1.0,4.688,1,1,0.7380830343413634
VND_ALPHA,SWITCH_S,2021-12-04,2021-12-06,3304,2843,12,1,6,0.65,0.799,1.196,0.9233,1.72,2.38,-0.358,1.423,0,2,0.8604721549636803
VND_DELTA,MOTOR_X,2022-06-28,2022-07-04,7790,6556,6,0,14,0.95,0.3424,4.594,0.7776,10.0,7.21,-1.0,4.359,1,6,0.841591784338896
VND_GAMMA,BEARING_01,2023-05-17,2023-05-17,5906,5906,5,0,11,0.8,0.9737,0.176,0.9998,1.61,2.86,-0.038,0.521,0,0,1.0
VND_BETA,BEARING_01,2022-01-24,2022-01-24,2630,2027,1,1,11,0.8,0.5173,3.326,0.8274,8.49,4.94,-0.843,2.646,1,0,0.7707224334600761
VND_ALPHA,SCREW_M4,2021-05-05,2021-05-04,6327,6327,5,0,5,0.4,0.7367,1.679,0.9663,2.19,1.91,-0.492,0.435,0,-1,1.0
VND_ALPHA,CABLE_R,2021-04-13,2021-04-13,4985,4985,4,0,8,0.7,0.8188,0.866,1.0,3.44,0.0,-0.737,0.775,0,0,1.0
VND_EPSILON,BEARING_01,2023-12-24,2023-12-26,1489,1160,12,1,11,0.8,0.6761,1.797,0.9351,2.82,4.49,-0.659,1.941,1,2,0.7790463398253862
VND_EPSILON,MOTOR_X,2021-06-14,2021-06-15,7174,5858,6,0,14,0.95,0.734,0.848,0.9466,5.8,3.45,-0.555,1.904,0,1,0.8165597992751603
VND_ALPHA,CASING_B,2021-05-20,2021-05-22,5731,5731,5,0,7,0.6,0.8302,1.393,1.0,2.19,1.91,-0.492,0.435,0,2,1.0
VND_DELTA,SCREW_M4,2021-09-03,2021-09-11,7913,5982,9,0,5,0.4,0.4123,4.653,0.6989,10.0,8.25,-1.0,4.688,1,8,0.7559711866548717
VND_EPSILON,SCREW_M4,2021-03-23,2021-03-25,5273,4567,3,0,5,0.4,0.7375,1.198,0.9117,5.21,3.36,-0.135,2.022,0,2,0.8661103736013654
VND_DELTA,BATTERY_A,2023-12-07,2023-12-07,2791,2478,12,1,10,0.9,0.3446,4.73,0.7174,9.5,6.79,-1.0,3.943,1,0,0.8878538158366177
VND_BETA,BLADE_X,2022-10-06,2022-10-10,2155,1931,10,0,12,0.85,0.5157,3.08,0.8627,7.34,4.7,-0.665,2.932,1,4,0.8960556844547564
VND_DELTA,BLADE_X,2021-09-26,2021-09-30,5702,3542,9,0,12,0.85,0.4195,4.359,0.7773,10.0,8.25,-1.0,4.688,1,4,0.6211855489302
VND_DELTA,BLADE_X,2022-10-10,2022-10-14,7810,7230,10,0,12,0.85,0.3549,5.225,0.7912,10.0,5.94,-1.0,3.793,1,4,0.9257362355953905
VND_ALPHA,BATTERY_A,2023-07-28,2023-07-28,5288,4570,7,0,10,0.9,0.8572,0.295,0.9943,2.66,1.71,-0.565,1.15,0,0,0.8642208774583964
VND_ALPHA,BATTERY_A,2022-03-13,2022-03-13,4344,4344,3,0,10,0.9,0.8271,0.466,0.9714,2.73,2.14,-0.359,0.814,1,0,1.0
VND_BETA,BLADE_X,2022-12-16,2022-12-21,7416,7365,12,1,12,0.85,0.5925,2.619,0.899,7.45,6.37,-1.0,2.215,1,5,0.9931229773462783
VND_BETA,BATTERY_A,2023-01-27,2023-01-31,2534,2276,1,1,10,0.9,0.5609,2.289,0.8476,8.49,4.94,-0.843,2.646,0,4,0.8981846882399369
VND_DELTA,CASING_B,2022-09-12,2022-09-20,5210,4529,9,0,7,0.6,0.3768,4.314,0.7966,10.0,8.25,-1.0,4.688,1,8,0.8692898272552783
VND_ZETA,MOTOR_X,2022-09-06,2022-09-06,7832,7356,9,0,14,0.95,0.9126,0.276,0.9867,3.04,0.65,-0.322,0.705,0,0,0.9392236976506639
VND_BETA,BATTERY_A,2022-06-26,2022-06-27,1145,981,6,0,10,0.9,0.5554,2.965,0.8221,8.51,4.55,-0.832,3.415,0,1,0.856768558951965
VND_ZETA,BATTERY_A,2021-11-15,2021-11-16,2431,2064,11,1,10,0.9,0.9407,0.756,0.9825,1.99,2.8,0.448,0.025,1,1,0.8490333196215549
VND_EPSILON,BLADE_X,2022-03-08,2022-03-11,6078,6078,3,0,12,0.85,0.7027,1.296,0.8555,5.21,3.36,-0.135,2.022,0,3,1.0
VND_BETA,CABLE_R,2022-06-25,2022-06-26,4340,4340,6,0,8,0.7,0.6132,2.591,0.8674,8.51,4.55,-0.832,3.415,1,1,1.0
VND_GAMMA,BEARING_01,2021-04-15,2021-04-15,956,861,4,0,11,0.8,0.908,-0.473,0.9538,1.81,0.33,-0.556,0.389,0,0,0.9006276150627615
VND_GAMMA,SWITCH_S,2021-04-01,2021-04-02,229,222,4,0,6,0.65,0.948,0.57,0.9563,1.81,0.33,-0.556,0.389,1,1,0.9694323144104804
VND_BETA,CABLE_R,2022-06-21,2022-06-24,1523,1496,6,0,8,0.7,0.6148,2.172,0.8822,8.51,4.55,-0.832,3.415,1,3,0.9822718319107026
VND_EPSILON,BEARING_01,2023-05-26,2023-05-26,4794,4224,5,0,11,0.8,0.7045,1.976,0.9726,5.37,6.65,-0.289,2.054,1,0,0.8811013767209012
VND_ALPHA,MOTOR_X,2021-06-04,2021-06-04,7941,7863,6,0,14,0.95,0.8049,0.718,0.9389,4.67,1.37,-0.2,0.43,0,0,0.9901775595013222
VND_EPSILON,CASING_B,2021-03-15,2021-03-19,7037,7037,3,0,7,0.6,0.7055,1.345,0.9386,5.21,3.36,-0.135,2.022,1,4,1.0
VND_EPSILON,CABLE_R,2021-10-31,2021-11-02,3720,3181,10,0,8,0.7,0.7342,0.801,0.8923,4.13,3.48,-0.679,1.687,0,2,0.8551075268817204
VND_ALPHA,CASING_B,2022-09-24,2022-09-24,3187,3187,9,0,7,0.6,0.7993,1.09,0.9595,3.19,0.54,0.027,0.512,0,0,1.0
VND_GAMMA,MOTOR_X,2022-03-07,2022-03-08,5787,5787,3,0,14,0.95,0.9637,0.83,0.956,1.39,0.8,0.586,0.47,0,1,1.0
VND_ZETA,SCREW_M4,2021-07-30,2021-07-31,3097,2937,7,0,5,0.4,0.9536,0.843,1.0,1.63,0.0,0.462,0.0,0,1,0.948337100419761
VND_EPSILON,SWITCH_S,2021-11-13,2021-11-15,7783,7783,11,1,6,0.65,0.7913,1.24,0.9444,4.9,3.65,0.183,1.854,1,2,1.0
VND_BETA,SCREW_M4,2021-12-29,2022-01-01,7420,6625,12,1,5,0.4,0.5983,2.473,0.8911,7.45,6.37,-1.0,2.215,1,3,0.8928571428571429
VND_ALPHA,SWITCH_S,2022-01-03,2022-01-03,6233,5859,1,1,6,0.65,0.8201,1.327,0.9153,3.7,2.96,-0.026,1.609,1,0,0.9399967912722605
VND_DELTA,CABLE_R,2022-05-24,2022-05-24,2385,1993,5,0,8,0.7,0.4058,5.365,0.7608,9.38,7.59,-0.912,3.272,1,0,0.8356394129979036
VND_ZETA,CASING_B,2021-08-10,2021-08-10,3333,3333,8,0,7,0.6,0.9319,0.884,0.9368,1.44,0.77,0.404,0.0,1,0,1.0
VND_DELTA,MOTOR_X,2022-04-01,2022-04-03,1834,1443,4,0,14,0.95,0.4229,4.089,0.774,10.0,7.27,-1.0,3.863,1,2,0.7868047982551799
VND_GAMMA,BEARING_01,2022-09-18,2022-09-18,6921,6559,9,0,11,0.8,0.9551,0.447,0.9742,1.65,0.0,-0.445,0.427,0,0,0.9476954197370322
VND_BETA,SCREW_M4,2021-02-18,2021-02-24,5606,4900,2,0,5,0.4,0.5278,3.552,0.8366,7.47,5.81,-0.631,3.173,1,6,0.8740635033892258
VND_DELTA,SCREW_M4,2022-11-04,2022-11-03,2482,2052,11,1,5,0.4,0.4195,4.949,0.8093,10.0,9.01,-1.0,3.571,1,-1,0.8267526188557615
VND_GAMMA,BATTERY_A,2022-12-21,2022-12-22,5455,5352,12,1,10,0.9,1.0,-0.128,0.9442,1.78,3.21,-0.462,0.474,1,1,0.9811182401466545
VND_ZETA,SWITCH_S,2022-11-10,2022-11-10,7894,7894,11,1,6,0.65,0.9217,0.116,0.9599,1.99,2.8,0.448,0.025,0,0,1.0
VND_ALPHA,MOTOR_X,2022-06-19,2022-06-18,1662,1662,6,0,14,0.95,0.8167,1.447,0.9703,4.67,1.37,-0.2,0.43,0,-1,1.0
VND_ALPHA,BLADE_X,2021-08-11,2021-08-12,5087,5087,8,0,12,0.85,0.8443,0.622,0.9697,2.6,1.31,-0.401,1.741,0,1,1.0
VND_GAMMA,SWITCH_S,2022-10-05,2022-10-05,3774,3774,10,0,6,0.65,0.9464,0.876,0.9697,0.49,0.87,-0.256,1.02,0,0,1.0
VND_DELTA,BATTERY_A,2022-01-25,2022-02-06,2286,1611,1,1,10,0.9,0.3794,3.863,0.7869,10.0,9.08,-1.0,3.072,1,12,0.7047244094488189
VND_ZETA,MOTOR_X,2023-06-13,2023-06-13,213,173,6,0,14,0.95,0.9119,-0.57,0.9325,0.95,0.58,-1.0,0.11,0,0,0.812206572769953
VND_GAMMA,SCREW_M4,2023-06-03,2023-06-04,773,773,6,0,5,0.4,0.9692,0.29,0.9729,1.52,0.0,0.363,0.701,0,1,1.0
VND_EPSILON,CABLE_R,2022-10-05,2022-10-06,5634,4665,10,0,8,0.7,0.7901,1.851,0.9234,4.13,3.48,-0.679,1.687,0,1,0.8280085197018104
VND_ZETA,BATTERY_A,2022-09-08,2022-09-08,4354,3931,9,0,10,0.9,0.9315,0.292,0.9774,3.04,0.65,-0.322,0.705,0,0,0.9028479559026182
VND_ZETA,BLADE_X,2023-04-17,2023-04-16,2872,2743,4,0,12,0.85,1.0,0.656,0.9629,4.0,1.67,-0.484,0.326,0,-1,0.95508356545961
VND_ZETA,SWITCH_S,2022-08-29,2022-08-30,4741,4741,8,0,6,0.65,0.8981,1.125,0.9907,1.44,0.77,0.404,0.0,0,1,1.0
VND_BETA,CASING_B,2023-05-12,2023-05-17,5647,5284,5,0,7,0.6,0.592,2.586,0.9195,8.96,6.56,-0.962,3.201,1,5,0.9357180803966708
VND_ZETA,SWITCH_S,2021-12-23,2021-12-23,5242,5242,12,1,6,0.65,1.0,0.252,0.9861,4.01,0.19,-0.074,0.755,0,0,1.0
VND_DELTA,BLADE_X,2021-01-01,2021-01-04,2689,1956,1,1,12,0.85,0.3672,4.67,0.7857,10.0,9.08,-1.0,3.072,1,3,0.7274079583488285
VND_BETA,BLADE_X,2023-05-31,2023-06-01,6636,6636,5,0,12,0.85,0.5461,2.427,0.9026,8.96,6.56,-0.962,3.201,0,1,1.0
VND_DELTA,CABLE_R,2023-06-24,2023-06-28,3822,2983,6,0,8,0.7,0.4045,4.091,0.7623,10.0,7.21,-1.0,4.359,0,4,0.7804814233385662
VND_EPSILON,SCREW_M4,2023-08-28,2023-08-27,6702,6702,8,0,5,0.4,0.7649,0.754,0.903,7.16,0.93,-0.254,0.955,0,-1,1.0
VND_ZETA,CASING_B,2021-06-23,2021-06-23,2524,2524,6,0,7,0.6,0.9974,0.216,1.0,0.95,0.58,-1.0,0.11,0,0,1.0
VND_ALPHA,CABLE_R,2022-04-27,2022-04-27,5711,4661,4,0,8,0.7,0.7971,1.32,0.9654,3.44,0.0,-0.737,0.775,0,0,0.8161442829627036
VND_BETA,BLADE_X,2022-02-12,2022-02-18,1407,1407,2,0,12,0.85,0.525,2.958,0.8948,7.47,5.81,-0.631,3.173,1,6,1.0
VND_ALPHA,MOTOR_X,2022-05-17,2022-05-18,4092,4044,5,0,14,0.95,0.8083,0.34,0.9585,2.19,1.91,-0.492,0.435,1,1,0.9882697947214076
VND_DELTA,BATTERY_A,2023-04-29,2023-05-06,7459,3873,4,0,10,0.9,0.426,3.804,0.7591,10.0,7.27,-1.0,3.863,0,7,0.5192385038208875
VND_ZETA,SCREW_M4,2023-02-26,2023-02-25,4249,4249,2,0,5,0.4,0.8802,0.843,0.9588,0.68,0.31,-0.17,0.259,0,-1,1.0
VND_BETA,SWITCH_S,2021-10-30,2021-11-01,5574,5139,10,0,6,0.65,0.5531,2.287,0.9099,7.34,4.7,-0.665,2.932,1,2,0.9219590958019376
VND_ALPHA,MOTOR_X,2023-05-21,2023-05-21,1992,1992,5,0,14,0.95,0.7643,0.665,0.9756,2.19,1.91,-0.492,0.435,0,0,1.0
VND_ZETA,CASING_B,2023-11-27,2023-11-27,4005,4005,11,1,7,0.6,0.9453,0.572,1.0,1.99,2.8,0.448,0.025,0,0,1.0
VND_EPSILON,MOTOR_X,2022-05-26,2022-05-27,7715,6953,5,0,14,0.95,0.708,1.519,0.9094,5.37,6.65,-0.289,2.054,1,1,0.9012313674659753
VND_DELTA,BATTERY_A,2021-10-01,2021-10-08,6765,5160,10,0,10,0.9,0.3831,3.701,0.7975,10.0,5.94,-1.0,3.793,1,7,0.7627494456762749
VND_ZETA,BEARING_01,2023-12-24,2023-12-25,4778,3799,12,1,11,0.8,1.0,0.052,0.9921,4.01,0.19,-0.074,0.755,0,1,0.7951025533696107
VND_DELTA,CABLE_R,2023-10-31,2023-11-08,3695,2507,10,0,8,0.7,0.4045,4.079,0.7513,10.0,5.94,-1.0,3.793,0,8,0.6784844384303113
VND_BETA,BEARING_01,2023-08-31,2023-09-07,3886,3606,8,0,11,0.8,0.5133,2.788,0.9401,8.24,4.9,-0.912,2.005,1,7,0.9279464745239321
VND_BETA,BLADE_X,2022-07-22,2022-07-25,6473,6294,7,0,12,0.85,0.5942,3.275,0.8992,8.11,6.76,-1.0,3.129,1,3,0.9723466707863433
VND_ZETA,BEARING_01,2022-05-05,2022-05-04,2449,2233,5,0,11,0.8,0.9419,0.802,0.9724,3.15,0.0,0.105,0.83,0,-1,0.911800734993875
VND_ALPHA,BEARING_01,2022-08-09,2022-08-12,2120,2119,8,0,11,0.8,0.8102,1.386,0.9957,2.6,1.31,-0.401,1.741,1,3,0.9995283018867924
VND_GAMMA,BLADE_X,2022-10-17,2022-10-16,7515,7515,10,0,12,0.85,0.9754,0.816,0.9822,0.49,0.87,-0.256,1.02,0,-1,1.0
VND_BETA,BATTERY_A,2021-11-05,2021-11-08,2094,1845,11,1,10,0.9,0.5061,2.224,0.9278,7.62,7.21,-0.911,3.187,1,3,0.8810888252148997
VND_ZETA,SWITCH_S,2021-11-09,2021-11-09,5986,5048,11,1,6,0.65,0.9179,-0.117,0.962,1.99,2.8,0.448,0.025,0,0,0.8433010357500835
VND_ALPHA,SCREW_M4,2023-04-30,2023-05-03,3539,3539,4,0,5,0.4,0.7925,1.901,0.9895,3.44,0.0,-0.737,0.775,0,3,1.0
VND_EPSILON,CABLE_R,2023-08-13,2023-08-13,3606,3209,8,0,8,0.7,0.7292,1.037,0.884,7.16,0.93,-0.254,0.955,0,0,0.8899057127010538
VND_BETA,MOTOR_X,2023-05-11,2023-05-16,3390,3390,5,0,14,0.95,0.6054,3.026,0.8978,8.96,6.56,-0.962,3.201,0,5,1.0
VND_EPSILON,MOTOR_X,2023-02-19,2023-02-22,4107,3728,2,0,14,0.95,0.7457,1.424,0.9466,3.97,2.95,-0.443,1.143,0,3,0.907718529340151
VND_GAMMA,MOTOR_X,2022-09-04,2022-09-03,6372,6253,9,0,14,0.95,0.9105,-0.141,0.9954,1.65,0.0,-0.445,0.427,0,-1,0.9813245448838669
VND_DELTA,SWITCH_S,2022-03-28,2022-04-06,4199,3792,3,0,6,0.65,0.4109,4.259,0.7224,9.67,7.03,-1.0,3.314,1,9,0.9030721600381043
